Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,TargetAngle1,TargetAngle2
203,0.405972,-28.8232136,-24.7837486,-39.9107666,5.0271287,-38.8302765,6.16972256
204,0.407963,-28.7935448,-24.786129,-39.8889084,5.07084227,-38.798378,6.20162058
205,0.409963,-28.7639351,-24.7891369,-39.8670502,5.09269857,-38.7663612,6.23363972
206,0.411959,-28.7339745,-24.793993,-39.8233337,5.11455488,-38.7343216,6.26567936
207,0.413977,-28.7040062,-24.7995358,-39.8014832,5.13641119,-38.7022629,6.29773855
208,0.415962,-28.6745415,-24.8039379,-39.7359085,5.18012476,-38.6702843,6.32971525
209,0.417963,-28.6456757,-24.8067417,-39.6921997,5.22383833,-38.6380844,6.36191607
210,0.419964,-28.6170692,-24.8084431,-39.6703415,5.24569464,-38.6060677,6.39393234
211,0.421965,-28.5881004,-24.8101597,-39.6484833,5.28940821,-38.5740318,6.42596817
212,0.423962,-28.5584507,-24.8129883,-39.6266251,5.31126451,-38.5418739,6.45812559
213,0.425974,-28.5280819,-24.8180962,-39.6266251,5.33312082,-38.5098,6.49020052
214,0.427964,-28.4973545,-24.8248768,-39.6047745,5.35497808,-38.4775009,6.52249956
215,0.429963,-28.467535,-24.8302536,-39.561058,5.37683439,-38.4453888,6.55461311
216,0.431959,-28.4385376,-24.8330536,-39.495491,5.42054796,-38.4131508,6.58684826
217,0.433964,-28.4095669,-24.8340282,-39.4736328,5.44240427,-38.3810005,6.61900091
218,0.435993,-28.3807735,-24.8343487,-39.4299164,5.48611689,-38.3488274,6.65117216
219,0.437976,-28.3520164,-24.8355942,-39.4299164,5.52983046,-38.316433,6.683568
220,0.439964,-28.3223457,-24.838007,-39.4080582,5.55168676,-38.2840157,6.71598291
221,0.442148,-28.2929382,-24.8401852,-39.3862076,5.59540033,-38.2517891,6.74821234
222,0.443998,-28.2649784,-24.8413219,-39.3424911,5.61725664,-38.2193336,6.78066587
223,0.445988,-28.2379589,-24.8416252,-39.2769241,5.6391139,-38.1870689,6.81293297
224,0.448114,-28.2114124,-24.8411713,-39.2332077,5.70468378,-38.1545753,6.84542465
225,0.450035,-28.1847687,-24.8404617,-39.2113495,5.72654009,-38.1222687,6.87772989
226,0.452138,-28.1573315,-24.8403645,-39.1676407,5.77025366,-38.0899467,6.91005373
227,0.454054,-28.1293259,-24.8408833,-39.1457825,5.79210997,-38.0573959,6.94260263
228,0.455962,-28.1021366,-24.8417282,-39.1457825,5.81396627,-38.0250359,6.97496414
229,0.457975,-28.0754929,-24.8428478,-39.102066,5.83582258,-37.9925537,7.00744724
230,0.459961,-28.0492935,-24.8433781,-39.036499,5.85767984,-37.9601555,7.03984642
231,0.461958,-28.0239105,-24.8426723,-38.9927826,5.87953615,-37.9275284,7.07247066
232,0.463963,-27.9988441,-24.84062,-38.970932,5.90139246,-37.894989,7.10501003
233,0.465981,-27.9737434,-24.8374443,-38.9490738,5.94510603,-37.8623276,7.13767147
234,0.467980,-27.9486732,-24.8344975,-38.9490738,5.9888196,-37.8298569,7.17014503
235,0.469963,-27.9232502,-24.8325615,-38.9272156,6.01067591,-37.7971573,7.20284367
236,0.471965,-27.8976421,-24.8313332,-38.9053574,6.03253222,-37.7646446,7.23535395
237,0.473961,-27.8726139,-24.8299866,-38.8835068,6.07624578,-37.7320137,7.26798582
238,0.475963,-27.8482361,-24.8278923,-38.8397903,6.09810209,-37.6994667,7.30053282
239,0.477965,-27.8238754,-24.8254967,-38.8179321,6.14181566,-37.6667976,7.33320141
240,0.479977,-27.7998943,-24.8226566,-38.7523651,6.18552828,-37.6341095,7.3658886
241,0.481960,-27.7762184,-24.8197918,-38.7305069,6.22924185,-37.6014061,7.3985939
242,0.483964,-27.7516537,-24.8185711,-38.7086487,6.25109816,-37.5687866,7.43121386
243,0.485964,-27.7262249,-24.8190365,-38.6867905,6.27295542,-37.5361481,7.46385145
244,0.487963,-27.7011471,-24.8194466,-38.6430817,6.29481173,-37.5033875,7.49661112
245,0.489978,-27.6769314,-24.8188782,-38.5993652,6.31666803,-37.4706116,7.5293889
246,0.491964,-27.6529121,-24.8177357,-38.5556564,6.3385253,-37.4378166,7.56218433
247,0.493961,-27.6288872,-24.8158092,-38.51194,6.38223791,-37.4051056,7.59489393
248,0.495963,-27.6041031,-24.8128891,-38.4900818,6.40409517,-37.3722763,7.6277256
249,0.497965,-27.5785809,-24.8094292,-38.446373,6.46966505,-37.3395309,7.66047049
250,0.499976,-27.5528927,-24.8066158,-38.4245148,6.49152136,-37.3067665,7.69323349
251,0.501959,-27.5262527,-24.8060036,-38.3807983,6.53523397,-37.27388,7.72611856
252,0.503963,-27.4989357,-24.807394,-38.3370895,6.55709124,-37.2409782,7.75902081
253,0.505963,-27.4719143,-24.8090458,-38.2933731,6.60080385,-37.2079544,7.79204559
254,0.507961,-27.4452686,-24.8098316,-38.2715149,6.62266111,-37.1749115,7.8250885
255,0.509963,-27.4191799,-24.8095646,-38.2496643,6.66637373,-37.1419563,7.85804415
256,0.511976,-27.3929501,-24.8090057,-38.2059479,6.7100873,-37.1089821,7.89101696
257,0.513964,-27.3662224,-24.8095245,-38.1840897,6.75380087,-37.0759926,7.92400789
258,0.515962,-27.3388062,-24.8122177,-38.1622391,6.77565718,-37.042881,7.95712042
259,0.517962,-27.3111019,-24.8159294,-38.1185226,6.79751348,-37.0099602,7.99004126
260,0.519978,-27.2832432,-24.8196125,-38.0748062,6.81936979,-36.9769173,8.02308369
261,0.521972,-27.2543449,-24.8235607,-38.0310974,6.84122705,-36.9439621,8.05603886
262,0.523964,-27.2244949,-24.8278751,-38.0092392,6.88493967,-36.9109879,8.08901119
263,0.525965,-27.1941948,-24.832304,-37.987381,6.92865324,-36.8777885,8.1222105
264,0.527960,-27.1636448,-24.8372765,-37.9655228,6.95050955,-36.844574,8.15542793
265,0.529962,-27.1326675,-24.8439846,-37.9436722,6.99422312,-36.8115501,8.18845081
266,0.531989,-27.1011124,-24.8526516,-37.8999557,7.01607943,-36.7782974,8.22170258
267,0.533965,-27.0696125,-24.8615685,-37.8780975,7.03793669,-36.7452393,8.25475979
268,0.535960,-27.0389118,-24.8691254,-37.8343887,7.03793669,-36.7121658,8.28783417
